"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":340}]","340","Instructions_01","DASS21","instructions","118","112960","0.0-137.0","",""
"","1014","DASS21_001","DASS21","survey-multi-choice-vertical","119","113975","0.0-138.0","{""Q0"":""Me costó mucho relajarme.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","908","DASS21_002","DASS21","survey-multi-choice-vertical","120","114886","0.0-139.0","{""Q0"":""Me di cuenta que tenia la boca seca.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","1006","DASS21_003","DASS21","survey-multi-choice-vertical","121","115896","0.0-140.0","{""Q0"":""No podía sentir ningún sentimiento positivo.""}","{""Q0"":"" 0 No me aplicó""}"
"","941","DASS21_004","DASS21","survey-multi-choice-vertical","122","116840","0.0-141.0","{""Q0"":""Se me hizo difícil respirar.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","921","DASS21_005","DASS21","survey-multi-choice-vertical","123","117764","0.0-142.0","{""Q0"":""Se me hizo difícil tomar la iniciativa para hacer cosas.""}","{""Q0"":"" 2 Me aplicó bastante, o durante una buena parte del tiempo""}"
"","1067","DASS21_006","DASS21","survey-multi-choice-vertical","124","118834","0.0-143.0","{""Q0"":""Reaccioné exageradamente en ciertas situaciones.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","1155","DASS21_007","DASS21","survey-multi-choice-vertical","125","119995","0.0-144.0","{""Q0"":""Sentí que mis manos temblaban.""}","{""Q0"":"" 0 No me aplicó""}"
"","1172","DASS21_008","DASS21","survey-multi-choice-vertical","126","121170","0.0-145.0","{""Q0"":""Sentí que tenía muchos nervios.""}","{""Q0"":"" 2 Me aplicó bastante, o durante una buena parte del tiempo""}"
"","1276","DASS21_009","DASS21","survey-multi-choice-vertical","127","122449","0.0-146.0","{""Q0"":""Estaba preocupado por situaciones en las cuales podía tener pánico o en las que podría hacer el ridículo.""}","{""Q0"":"" 2 Me aplicó bastante, o durante una buena parte del tiempo""}"
"","938","DASS21_010","DASS21","survey-multi-choice-vertical","128","123390","0.0-147.0","{""Q0"":""Sentí que no tenia nada por que vivir.""}","{""Q0"":"" 3 Me aplicó mucho, o la mayor parte del tiempo""}"
"","966","DASS21_011","DASS21","survey-multi-choice-vertical","129","124359","0.0-148.0","{""Q0"":""Noté que me agitaba.""}","{""Q0"":"" 0 No me aplicó""}"
"","889","DASS21_012","DASS21","survey-multi-choice-vertical","130","125251","0.0-149.0","{""Q0"":""Se me hizo difícil relajarme.""}","{""Q0"":"" 0 No me aplicó""}"
"","1134","DASS21_013","DASS21","survey-multi-choice-vertical","131","126388","0.0-150.0","{""Q0"":""Me sentí triste y deprimido.""}","{""Q0"":"" 0 No me aplicó""}"
"","906","DASS21_014","DASS21","survey-multi-choice-vertical","132","127297","0.0-151.0","{""Q0"":""No toleré nada que no me permitiera continuar con lo que estaba haciendo.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","972","DASS21_015","DASS21","survey-multi-choice-vertical","133","128274","0.0-152.0","{""Q0"":""Sentí que estaba cerca de caer en pánico.""}","{""Q0"":"" 0 No me aplicó""}"
"","997","DASS21_016","DASS21","survey-multi-choice-vertical","134","129274","0.0-153.0","{""Q0"":""No me pude entusiasmar por nada.""}","{""Q0"":"" 2 Me aplicó bastante, o durante una buena parte del tiempo""}"
"","923","DASS21_017","DASS21","survey-multi-choice-vertical","135","130201","0.0-154.0","{""Q0"":""Sentí que valía muy poco como persona.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","923","DASS21_018","DASS21","survey-multi-choice-vertical","136","131131","0.0-155.0","{""Q0"":""Sentí que estaba muy irritable.""}","{""Q0"":"" 0 No me aplicó""}"
"","842","DASS21_019","DASS21","survey-multi-choice-vertical","137","131977","0.0-156.0","{""Q0"":""Sentí los latidos de mi corazón a pesar de no haber hecho ningún esfuerzo físico.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"","978","DASS21_020","DASS21","survey-multi-choice-vertical","138","132961","0.0-157.0","{""Q0"":""Tuve miedo sin razón.""}","{""Q0"":"" 0 No me aplicó""}"
"","904","DASS21_021","DASS21","survey-multi-choice-vertical","139","133870","0.0-158.0","{""Q0"":""Sentí que la vida no tenía ningún sentido.""}","{""Q0"":"" 1 Me aplicó un poco, o durante parte del tiempo""}"
"[{""page_index"":0,""viewing_time"":384}]","384","Instructions_002","DASS21","instructions","140","134256","0.0-159.0","",""
