"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":267}]","267","Instructions","DEMOGR3","instructions","132","69419","0.0-143.0","",""
"","404","DEMOGR3_01","DEMOGR3","survey-text","133","69824","0.0-144.0","{""Q0"":""Indica tu edad""}","{""Q0"":""74""}"
"","489","DEMOGR3_02","DEMOGR3","survey-multi-choice-vertical","134","70316","0.0-145.0","{""Q0"":""Indica tu sexo""}","{""Q0"":"" Mujer""}"
"","388","DEMOGR3_03","DEMOGR3","survey-multi-choice-vertical","135","70705","0.0-146.0","{""Q0"":""¿Usted nació en Chile?""}","{""Q0"":"" Sí""}"
"","393","DEMOGR3_04","DEMOGR3","survey-multi-choice-vertical","136","71101","0.0-147.0","{""Q0"":""¿Usted vive hace más de 10 años en Chile?""}","{""Q0"":"" No""}"
"","722","DEMOGR3_05","DEMOGR3","survey-multi-choice-vertical","137","71826","0.0-148.0","{""Q0"":""¿Cuál es el nivel educacional alcanzado (último año aprobado) por usted?""}","{""Q0"":"" Universitaria incompleta / Técnica completa""}"
"","417","DEMOGR3_06","DEMOGR3","survey-multi-choice-vertical","138","72246","0.0-149.0","{""Q0"":""Durante los últimos 12 meses ¿Ha sido diagnosticado/a y/o tratado/a por algún problema Psicológico o Psiquiátrico?""}","{""Q0"":"" Sí""}"
"","416","DEMOGR3_07","DEMOGR3","survey-multi-choice-vertical","139","72663","0.0-150.0","{""Q0"":""¿Usted tiene actualmente alguno de los siguientes diagnósticos: Esquizofrenia, Depresión Mayor, Epilepsia grave, Traumatismo encefalocraneano?""}","{""Q0"":"" No""}"
"","419","DEMOGR3_08","DEMOGR3","survey-multi-choice-vertical","140","73085","0.0-151.0","{""Q0"":""¿Tiene algún problema visual o auditivo que le impida responder esta encuesta sin ayuda?""}","{""Q0"":"" Sí""}"
"","7035","DEMOGR3_09","DEMOGR3","survey-text","141","80121","0.0-152.0","{""Q0"":""Introduce tu número de celular (912345678)(sólo lo usaremos para contactar contigo en caso de que ganes el sorteo.)""}","{""Q0"":""965546070""}"
