"success","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","rt","response","question_order"
"true","Instructions_01","DEMOGR","fullscreen","146","137661","0.0-167.0","","","",""
"","DEMOGR_01","DEMOGR","survey-text","147","140243","0.0-168.0","{""Q0"":""Indica tu edad""}","2579","{""Q0"":""32""}",""
"","DEMOGR_02","DEMOGR","survey-multi-choice-vertical","148","140939","0.0-169.0","{""Q0"":""Indica tu género""}","694","{""Q0"":"" Masculino""}",""
"","DEMOGR_03","DEMOGR","survey-html-form","149","141534","0.0-170.0","{""Q0"":""Indica tu correo electrónico personal(enviaremos la giftcard a este email cuando finalices las tareas)""}","591.8999999985099","{""Q0"":""KioQxyqz@gmail.com""}",""
"","DEMOGR_05","DEMOGR","survey-multi-choice-vertical","150","142178","0.0-171.0","{""Q0"":""¿Tienes algún tipo de daltonismo?""}","641","{""Q0"":"" Si""}",""
"","DEMOGR_06","DEMOGR","survey-html-form","151","142735","0.0-172.0","{""Q0"":""Elige del desplegable tu comuna de residencia.""}","553.6999999992549","{""Q0"":""9t7zcK4HKMxah9XjTj2R59II4aXEpLE6pPwN97iFZkYHzh3i8ioUW77XB87EIgcqTtdFs84mES8qBBbLW3olJOmYTDbc""}",""
"","DEMOGR_07","DEMOGR","survey-multi-choice-vertical","152","144618","0.0-173.0","{""Q0"":""Indica tú nivel de estudios""}","1873","{""Q0"":"" Magíster o Doctorado incompleta""}",""
"","DEMOGR_08","DEMOGR","survey-multi-choice-vertical","153","145727","0.0-174.0","{""Q0"":""¿Qué estas estudiando?""}","1105","{""Q0"":"" Negocios / Comercio""}",""
"","DEMOGR_10","DEMOGR","survey-multi-choice-vertical","154","146784","0.0-176.0","{""Q0"":""Año completado de tus estudios""}","1054","{""Q0"":"" Iniciada""}",""
"","DEMOGR_11","DEMOGR","survey-html-form","155","147445","0.0-177.0","{""Q0"":""Elige del desplegable la institución educativa a la que asistes. En caso de que no aparezca, introduce el nombre.""}","657","{""Q0"":""6Ka5pr7EyOIdApfMrMfcyycLUtg9M84iU6vJK4b0zg4""}",""
"","DEMOGR_12","DEMOGR","survey-multi-choice-vertical","156","149104","0.0-178.0","{""Q0"":""Indica el nivel de estudios de tu madre""}","1643","{""Q0"":"" Postgrado incompleta""}",""
"","DEMOGR_13","DEMOGR","survey-multi-choice-vertical","157","150812","0.0-179.0","{""Q0"":""Indica el nivel de estudios de tu padre""}","1702","{""Q0"":"" Magíster o Doctorado completa""}",""
"","DEMOGR_14","DEMOGR","survey-multi-choice-vertical","158","151842","0.0-180.0","{""Q0"":""¿Qué tipo de seguro de salud tienes?""}","1025","{""Q0"":"" Otros""}",""
"","DEMOGR_15","DEMOGR","survey-multi-choice-horizontal","159","152649","0.0-181.0","{""Q0"":""¿Alguna vez has estado embarazada?""}","803","{""Q0"":"" No""}",""
"","DEMOGR_16","DEMOGR","survey-multi-choice-horizontal","160","153270","0.0-182.0","{""Q0"":""¿Alguna vez has tenido un parto vaginal o cesarea?""}","618","{""Q0"":"" Si""}",""
"","DEMOGR_17","DEMOGR","survey-multi-choice-horizontal","161","154154","0.0-183.0","{""Q0"":""¿Quieres tener hijos en el futuro?""}","882","{""Q0"":"" No""}",""
"","DEMOGR_18","DEMOGR","survey-text","162","154671","0.0-184.0","{""Q0"":""¿Cuántos hijos(as) te gustaría tener? (0, 1, 2, 3...)""}","514","{""Q0"":""98""}",""
"","DEMOGR_19","DEMOGR","survey-multi-select","163","155491","0.0-185.0","{""Q0"":""Indica si alguna de las siguientes personas o grupos ha tenido una cesarea (puedes marcar más de una opción):""}","816.1000000014901","{""Q0"":[""&nbsp;Hermanas""]}","[0]"
