"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":412}]","413","Instructions_01","GHQ12","instructions","226","201128","0.0-253.0","",""
"","856","GHQ12_01","GHQ12","survey-multi-choice-vertical","227","201987","0.0-254.0","{""Q0"":"" Últimamente, ¿Ha podido concentrarse bien en lo que hacía?""}","{""Q0"":"" Mejor que lo habitual""}"
"","947","GHQ12_02","GHQ12","survey-multi-choice-vertical","228","202937","0.0-255.0","{""Q0"":"" Últimamente, ¿Sus preocupaciones le han hecho perder mucho sueño?""}","{""Q0"":"" No, en lo absoluto""}"
"","945","GHQ12_03","GHQ12","survey-multi-choice-vertical","229","203887","0.0-256.0","{""Q0"":"" Últimamente, ¿Ha sentido que está desempeñando un papel útil en la vida?""}","{""Q0"":"" Más útil que lo habitual""}"
"","910","GHQ12_04","GHQ12","survey-multi-choice-vertical","230","204800","0.0-257.0","{""Q0"":"" Últimamente, ¿Se ha sentido capaz de tomar decisiones?""}","{""Q0"":"" Igual que lo habitual""}"
"","969","GHQ12_05","GHQ12","survey-multi-choice-vertical","231","205775","0.0-258.0","{""Q0"":"" Últimamente, ¿Se ha notado constantemente agobiado y en tensión?""}","{""Q0"":"" No más que lo habitual""}"
"","862","GHQ12_06","GHQ12","survey-multi-choice-vertical","232","206645","0.0-259.0","{""Q0"":"" Últimamente, ¿Ha tenido la sensación de que no puede superar sus dificultades?""}","{""Q0"":"" No, en absoluto""}"
"","949","GHQ12_07","GHQ12","survey-multi-choice-vertical","233","207599","0.0-260.0","{""Q0"":"" Últimamente, ¿Ha sido capaz de disfrutar de sus actividades normales de cada día?""}","{""Q0"":"" Igual que lo habitual""}"
"","1013","GHQ12_08","GHQ12","survey-multi-choice-vertical","234","208618","0.0-261.0","{""Q0"":"" Últimamente, ¿Ha sido capaz de hacer frente adecuadamente a sus problemas?""}","{""Q0"":"" Menos que lo habitual""}"
"","980","GHQ12_09","GHQ12","survey-multi-choice-vertical","235","209601","0.0-262.0","{""Q0"":"" Últimamente, ¿Se ha sentido poco feliz o deprimido?""}","{""Q0"":"" No más que lo habitual""}"
"","814","GHQ12_10","GHQ12","survey-multi-choice-vertical","236","210419","0.0-263.0","{""Q0"":"" Últimamente, ¿Ha perdido confianza en sí mismo?""}","{""Q0"":"" No, en absoluto""}"
"","1010","GHQ12_11","GHQ12","survey-multi-choice-vertical","237","211434","0.0-264.0","{""Q0"":"" Últimamente, ¿Ha pensado que usted es una persona que no vale para nada?""}","{""Q0"":"" Algo más que lo habitual""}"
"","798","GHQ12_12","GHQ12","survey-multi-choice-vertical","238","212236","0.0-265.0","{""Q0"":"" Últimamente, ¿Se siente razonablemente feliz considerando todas las circunstancias?""}","{""Q0"":"" Menos que lo habitual""}"
