"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":444}]","444","Instructions_01","IBT","instructions","211","181875","0.0-227.0","",""
"","1192","IBT_01","IBT","survey-multi-choice-horizontal","212","183071","0.0-228.0","{""Q0"":""A menudo compro cosas de manera espontánea.""}","{""Q0"":""En desacuerdo""}"
"","1115","IBT_02","IBT","survey-multi-choice-horizontal","213","184191","0.0-229.0","{""Q0"":""“Ya mismo” describe la forma en que compro las cosas.""}","{""Q0"":""Muy de acuerdo""}"
"","1029","IBT_03","IBT","survey-multi-choice-horizontal","214","185228","0.0-230.0","{""Q0"":""A menudo compro cosas sin pensar.""}","{""Q0"":""Neutral""}"
"","973","IBT_04","IBT","survey-multi-choice-horizontal","215","186207","0.0-231.0","{""Q0"":""Si veo algo que quiero, lo compro.""}","{""Q0"":""Muy en desacuerdo""}"
"","962","IBT_05","IBT","survey-multi-choice-horizontal","216","187173","0.0-232.0","{""Q0"":""“Compro primero y pienso después” me describe bien.""}","{""Q0"":""Muy en desacuerdo""}"
"","1203","IBT_06","IBT","survey-multi-choice-horizontal","217","188380","0.0-233.0","{""Q0"":""Algunas veces soy un poco insensato (irracional, ilógico) comprando.""}","{""Q0"":""Muy de acuerdo""}"
"","1134","IBT_07","IBT","survey-multi-choice-horizontal","218","189519","0.0-234.0","{""Q0"":""Compro cosas según cómo me siento en el momento.""}","{""Q0"":""Neutral""}"
"","1457","IBT_08","IBT","survey-multi-choice-horizontal","219","190982","0.0-235.0","{""Q0"":""Planifico cuidadosamente la mayoría de las compras.""}","{""Q0"":""Muy de acuerdo""}"
"","1009","IBT_09","IBT","survey-multi-choice-horizontal","220","191995","0.0-236.0","{""Q0"":""Algunas veces soy un poco imprudente con lo que compro.""}","{""Q0"":""De acuerdo""}"
