"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":301}]","301","Instructions_01","IDQ","instructions","363","505662","0.0-316.0","",""
"","688","IDQ_01","IDQ","survey-text","364","506355","0.0-317.0","{""Q0"":""Nombre completo""}","{""Q0"":""DZkKHCtHyZaHGBg9j6cuItWsPCFk5IZaKfKlm7GQYmmWziEivhwyEJd05RChnYKjvtqk3RMBelNCzC19zeeerAF28""}"
"","689","IDQ_02","IDQ","survey-text","365","507048","0.0-318.0","{""Q0"":""Edad""}","{""Q0"":""82""}"
"","568","IDQ_03","IDQ","survey-text","366","507619","0.0-319.0","{""Q0"":""Rut (sin digito verificador)""}","{""Q0"":""56""}"
"","874","IDQ_04","IDQ","survey-multi-choice-vertical","367","508496","0.0-320.0","{""Q0"":""Sexo""}","{""Q0"":"" No binario""}"
"","720","IDQ_05","IDQ","survey-text","368","509221","0.0-321.0","{""Q0"":""Nivel educacional en años de estudio (Considere hasta el año realizado. Por ejemplo, si terminó 4to medio y no realizó nada más, poner 12 años. Si realizo dos años de formación técnica después de terminar 4to medio, poner 14 años. Si llegó solo hasta 3er medio, poner 10 ya que terminó 2do medio. etc.)""}","{""Q0"":""77""}"
"","587","IDQ_06","IDQ","survey-text","369","509811","0.0-322.0","{""Q0"":""Comuna de residencia""}","{""Q0"":""dRrTACYGeiZOhnrFvyxVvIcG8VKDbjWqfMi5hb""}"
"","738","IDQ_07","IDQ","survey-text","370","510553","0.0-323.0","{""Q0"":""Número telefónico de contacto""}","{""Q0"":""14""}"
"","656","IDQ_08","IDQ","survey-text","371","511214","0.0-324.0","{""Q0"":""Dirección correo electrónico""}","{""Q0"":""AXmRxckod9Q""}"
"","658","IDQ_09","IDQ","survey-multi-choice-vertical","372","511876","0.0-325.0","{""Q0"":""¿Ha sido diagnosticado con alguna enfermedad psiquiátrica?""}","{""Q0"":"" Si""}"
"","705","IDQ_10","IDQ","survey-text","373","512584","0.0-326.0-0.0","{""Q0"":""¿En que año fue diagnosticado con alguna enfermedad psiquiátrica?""}","{""Q0"":""61""}"
"","770","IDQ_11","IDQ","survey-multi-choice-vertical","374","513357","0.0-327.0","{""Q0"":""¿Se encuentra actualmente bajo algún tratamiento psiquiátrico? (ej: usa medicación; está bajo terapia psiquiátrica y/o control médico)""}","{""Q0"":"" No""}"
"","633","IDQ_13","IDQ","survey-multi-choice-vertical","375","513993","0.0-329.0","{""Q0"":""¿Ha tenido que acudir por ayuda especializada, o tiene la necesidad de buscarla, por consumo problemático de alcohol y/o drogas?""}","{""Q0"":"" No""}"
