"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":244}]","244","Instructions","IEC","instructions","315","153585","0.0-267.0","",""
"","717","IEC_01","IEC","survey-multi-choice-vertical","316","154307","0.0-268.0","{""Q0"":""1. El que yo llegue a ser un líder depende principalmente de mis habilidades.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","637","IEC_02","IEC","survey-multi-choice-vertical","317","154947","0.0-269.0","{""Q0"":""2. Mi vida ha sido influenciada en gran medida por eventos inesperados.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","673","IEC_03","IEC","survey-multi-choice-vertical","318","155624","0.0-270.0","{""Q0"":""3. Yo siento que lo que pasa en mi vida está muy determinado por la gente que tiene poder (padres, jefes, políticos)""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","625","IEC_04","IEC","survey-multi-choice-vertical","319","156252","0.0-271.0","{""Q0"":""4. El hecho de tener un accidente cuando voy manejando, depende principalmente de mi mismo.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","659","IEC_05","IEC","survey-multi-choice-vertical","320","156916","0.0-272.0","{""Q0"":""5. Cuando hago planes, estoy casi seguro de que lo llevaré a cabo.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","663","IEC_06","IEC","survey-multi-choice-vertical","321","157582","0.0-273.0","{""Q0"":""6. Ciertamente, a veces no puedo evitar tener mala suerte con mis asuntos personales.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","617","IEC_07","IEC","survey-multi-choice-vertical","322","158204","0.0-274.0","{""Q0"":""7. Como yo tengo buena suerte, siempre las cosas me salen bien.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","661","IEC_08","IEC","survey-multi-choice-vertical","323","158869","0.0-275.0","{""Q0"":""8. A pesar de estar bien capacitado, no conseguiré un buen empleo a menos que alguien influyente me ayude.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","629","IEC_09","IEC","survey-multi-choice-vertical","324","159502","0.0-276.0","{""Q0"":""9. La cantidad de amigos que tengo está determinada por mi propia simpatía.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","646","IEC_10","IEC","survey-multi-choice-vertical","325","160152","0.0-277.0","{""Q0"":""10. He descubierto que si algo va a suceder, ello sucederá independientemente de lo que yo haga.""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","670","IEC_11","IEC","survey-multi-choice-vertical","326","160826","0.0-278.0","{""Q0"":""11. Yo creo que los ricos y políticos controlan mi vida de muchas maneras diferentes.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","660","IEC_12","IEC","survey-multi-choice-vertical","327","161489","0.0-279.0","{""Q0"":""12. Si tengo un accidente automovilístico ello se debe a mi mala suerte.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","678","IEC_13","IEC","survey-multi-choice-vertical","328","162171","0.0-280.0","{""Q0"":""13. La gente como yo tiene muy poca oportunidad de defender sus intereses personales cuando esos intereses entran en conflicto con los grupos poderosos (ricos, políticos).""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","704","IEC_14","IEC","survey-multi-choice-vertical","329","162878","0.0-281.0","{""Q0"":""14. No siempre es apropiado para mí planear muy por adelantado porque de todas maneras muchas cosas resultan ser asunto de buena o mala suerte.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","651","IEC_15","IEC","survey-multi-choice-vertical","330","163532","0.0-282.0","{""Q0"":""15. En este país, para uno lograr lo que quiere necesariamente tiene que halagar a alguien.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","655","IEC_16","IEC","survey-multi-choice-vertical","331","164190","0.0-283.0","{""Q0"":""16. El que yo llegue a ser un líder dependerá de la suerte que yo tenga.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","649","IEC_17","IEC","survey-multi-choice-vertical","332","164843","0.0-284.0","{""Q0"":""17. Yo siento que la gente que tiene algún poder sobre mí (padres, familiares, jefes), trata de decidir lo que sucederá en mi vida.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","658","IEC_18","IEC","survey-multi-choice-vertical","333","165505","0.0-285.0","{""Q0"":""18. En la mayoría de los casos yo puedo decidir lo que sucederá en mi vida.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","647","IEC_19","IEC","survey-multi-choice-vertical","334","166156","0.0-286.0","{""Q0"":""19. Normalmente soy capaz de defender mis intereses personales.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","658","IEC_20","IEC","survey-multi-choice-vertical","335","166817","0.0-287.0","{""Q0"":""20. Si tengo un accidente cuando voy manejando, toda la culpa es del otro conductor.""}","{""Q0"":"" Moderadamente de acuerdo.""}"
