"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":438}]","438","Instructions_01","IEC","instructions","377","514653","0.0-332.0","",""
"","1168","IEC_01","IEC","survey-multi-choice-vertical","378","515827","0.0-333.0","{""Q0"":""1. El que yo llegue a ser un líder depende principalmente de mis habilidades.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","1505","IEC_02","IEC","survey-multi-choice-vertical","379","517341","0.0-334.0","{""Q0"":""2. Mi vida ha sido influenciada en gran medida por eventos inesperados.""}","{""Q0"":"" Moderadamente de acuerdo.""}"
"","1146","IEC_03","IEC","survey-multi-choice-vertical","380","518492","0.0-335.0","{""Q0"":""3. Yo siento que lo que pasa en mi vida está muy determinado por la gente que tiene poder (padres, jefes, políticos)""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","1032","IEC_04","IEC","survey-multi-choice-vertical","381","519532","0.0-336.0","{""Q0"":""4. El hecho de tener un accidente cuando voy manejando, depende principalmente de mi mismo.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","1167","IEC_05","IEC","survey-multi-choice-vertical","382","520705","0.0-337.0","{""Q0"":""5. Cuando hago planes, estoy casi seguro de que lo llevaré a cabo.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","969","IEC_06","IEC","survey-multi-choice-vertical","383","521681","0.0-338.0","{""Q0"":""6. Ciertamente, a veces no puedo evitar tener mala suerte con mis asuntos personales.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","1192","IEC_07","IEC","survey-multi-choice-vertical","384","522879","0.0-339.0","{""Q0"":""7. Como yo tengo buena suerte, siempre las cosas me salen bien.""}","{""Q0"":"" Moderadamente de acuerdo.""}"
"","1110","IEC_08","IEC","survey-multi-choice-vertical","385","523995","0.0-340.0","{""Q0"":""8. A pesar de estar bien capacitado, no conseguiré un buen empleo a menos que alguien influyente me ayude.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","1090","IEC_09","IEC","survey-multi-choice-vertical","386","525091","0.0-341.0","{""Q0"":""9. La cantidad de amigos que tengo está determinada por mi propia simpatía.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","1194","IEC_10","IEC","survey-multi-choice-vertical","387","526290","0.0-342.0","{""Q0"":""10. He descubierto que si algo va a suceder, ello sucederá independientemente de lo que yo haga.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","989","IEC_11","IEC","survey-multi-choice-vertical","388","527285","0.0-343.0","{""Q0"":""11. Yo creo que los ricos y políticos controlan mi vida de muchas maneras diferentes.""}","{""Q0"":"" Ligeramente en desacuerdo.""}"
"","1194","IEC_12","IEC","survey-multi-choice-vertical","389","528486","0.0-344.0","{""Q0"":""12. Si tengo un accidente automovilístico ello se debe a mi mala suerte.""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","946","IEC_13","IEC","survey-multi-choice-vertical","390","529439","0.0-345.0","{""Q0"":""13. La gente como yo tiene muy poca oportunidad de defender sus intereses personales cuando esos intereses entran en conflicto con los grupos poderosos (ricos, políticos).""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","1093","IEC_14","IEC","survey-multi-choice-vertical","391","530536","0.0-346.0","{""Q0"":""14. No siempre es apropiado para mí planear muy por adelantado porque de todas maneras muchas cosas resultan ser asunto de buena o mala suerte.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","1180","IEC_15","IEC","survey-multi-choice-vertical","392","531722","0.0-347.0","{""Q0"":""15. En este país, para uno lograr lo que quiere necesariamente tiene que halagar a alguien.""}","{""Q0"":"" Ligeramente de acuerdo.""}"
"","1033","IEC_16","IEC","survey-multi-choice-vertical","393","532764","0.0-348.0","{""Q0"":""16. El que yo llegue a ser un líder dependerá de la suerte que yo tenga.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","1164","IEC_17","IEC","survey-multi-choice-vertical","394","533933","0.0-349.0","{""Q0"":""17. Yo siento que la gente que tiene algún poder sobre mí (padres, familiares, jefes), trata de decidir lo que sucederá en mi vida.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","951","IEC_18","IEC","survey-multi-choice-vertical","395","534888","0.0-350.0","{""Q0"":""18. En la mayoría de los casos yo puedo decidir lo que sucederá en mi vida.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","1122","IEC_19","IEC","survey-multi-choice-vertical","396","536014","0.0-351.0","{""Q0"":""19. Normalmente soy capaz de defender mis intereses personales.""}","{""Q0"":"" Completamente de acuerdo.""}"
"","1023","IEC_20","IEC","survey-multi-choice-vertical","397","537042","0.0-352.0","{""Q0"":""20. Si tengo un accidente cuando voy manejando, toda la culpa es del otro conductor.""}","{""Q0"":"" Moderadamente de acuerdo.""}"
"","1120","IEC_21","IEC","survey-multi-choice-vertical","398","538168","0.0-353.0","{""Q0"":""21. Cuando logro lo que quiero es porque he trabajado mucho en ello.""}","{""Q0"":"" Completamente en desacuerdo.""}"
"","1086","IEC_22","IEC","survey-multi-choice-vertical","399","539259","0.0-354.0","{""Q0"":""22. Cuando quiero que mis planes me salgan bien, los preparo de manera que le den en el gusto a la gente que tiene influencia sobre mi (padres, jefes, etc.).""}","{""Q0"":"" Moderadamente de acuerdo.""}"
"","982","IEC_23","IEC","survey-multi-choice-vertical","400","540250","0.0-355.0","{""Q0"":""23. Mi vida está determinada por mis propias acciones.""}","{""Q0"":"" Moderadamente en desacuerdo.""}"
"","1229","IEC_24","IEC","survey-multi-choice-vertical","401","541483","0.0-356.0","{""Q0"":""24. Tener pocos o muchos amigos depende del destino de cada uno.""}","{""Q0"":"" Completamente en desacuerdo.""}"
