"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":488}]","489","Instructions","PBS","instructions","547","641345","0.0-507.0","",""
"","1606","PBS_001","PBS","survey-multi-choice-vertical","548","642960","0.0-508.0","{""Q0"":""El alma sigue existiendo aunque el cuerpo pueda morir.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1389","PBS_002","PBS","survey-multi-choice-vertical","549","644359","0.0-509.0","{""Q0"":""Algunos individuos pueden levitar (levantar) objetos a través de fuerzas mentales.""}","{""Q0"":"" 7 Muy de acuerdo""}"
"","1522","PBS_003","PBS","survey-multi-choice-vertical","550","645889","0.0-510.0","{""Q0"":""La magia negra realmente existe.""}","{""Q0"":"" 7 Muy de acuerdo""}"
"","1159","PBS_004","PBS","survey-multi-choice-vertical","551","647055","0.0-511.0","{""Q0"":""Los gatos negros traen mala suerte.""}","{""Q0"":"" 5 Un poco de acuerdo""}"
"","1277","PBS_005","PBS","survey-multi-choice-vertical","552","648348","0.0-512.0","{""Q0"":""Tu mente o alma puede salir del cuerpo y viajar (proyección astral).""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1372","PBS_006","PBS","survey-multi-choice-vertical","553","649729","0.0-513.0","{""Q0"":""El abominable hombre de las nieves, o pie grande del Tíbet, existe.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1640","PBS_007","PBS","survey-multi-choice-vertical","554","651378","0.0-514.0","{""Q0"":""La astrología es una forma precisa de predecir el futuro.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1519","PBS_008","PBS","survey-multi-choice-vertical","555","652918","0.0-515.0","{""Q0"":""Existe el diablo.""}","{""Q0"":"" 1 Muy en desacuerdo""}"
"","1627","PBS_009","PBS","survey-multi-choice-vertical","556","654553","0.0-516.0","{""Q0"":""La telekinesis, mover objetos a través de poderes psíquicos, existe.""}","{""Q0"":"" 7 Muy de acuerdo""}"
"","1533","PBS_010","PBS","survey-multi-choice-vertical","557","656093","0.0-517.0","{""Q0"":""Las brujas existen.""}","{""Q0"":"" 6 Moderadamente de acuerdo""}"
"","1129","PBS_011","PBS","survey-multi-choice-vertical","558","657231","0.0-518.0","{""Q0"":""Si quiebras un espejo, tendrás mala suerte.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1265","PBS_012","PBS","survey-multi-choice-vertical","559","658510","0.0-519.0","{""Q0"":""Durante estados alterados, como el sueño o los trances, el espíritu puede salir del cuerpo.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1247","PBS_013","PBS","survey-multi-choice-vertical","560","659767","0.0-520.0","{""Q0"":""El monstruo del lago Ness en Escocia, existe.""}","{""Q0"":"" 5 Un poco de acuerdo""}"
"","1546","PBS_014","PBS","survey-multi-choice-vertical","561","661329","0.0-521.0","{""Q0"":""El horóscopo dice el futuro de las personas de forma precisa.""}","{""Q0"":"" 1 Muy en desacuerdo""}"
"","1658","PBS_015","PBS","survey-multi-choice-vertical","562","663002","0.0-522.0","{""Q0"":""Creo en Dios.""}","{""Q0"":"" 1 Muy en desacuerdo""}"
"","1159","PBS_016","PBS","survey-multi-choice-vertical","563","664171","0.0-523.0","{""Q0"":""Los pensamientos de una persona pueden influir en el movimiento de un objeto físico.""}","{""Q0"":"" 3 Un poco en desacuerdo""}"
"","1130","PBS_017","PBS","survey-multi-choice-vertical","564","665309","0.0-524.0","{""Q0"":""A través del uso de pócimas y conjuros, es posible lanzar hechizos sobre las personas.""}","{""Q0"":"" 7 Muy de acuerdo""}"
"","1290","PBS_018","PBS","survey-multi-choice-vertical","565","666607","0.0-525.0","{""Q0"":""El número “13” es de mala suerte.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1190","PBS_019","PBS","survey-multi-choice-vertical","566","667804","0.0-526.0","{""Q0"":""La reencarnación existe.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
"","1600","PBS_020","PBS","survey-multi-choice-vertical","567","669411","0.0-527.0","{""Q0"":""Hay vida en otros planetas.""}","{""Q0"":"" 5 Un poco de acuerdo""}"
"","1358","PBS_021","PBS","survey-multi-choice-vertical","568","670778","0.0-528.0","{""Q0"":""Algunos psíquicos pueden predecir el futuro de forma precisa.""}","{""Q0"":"" 6 Moderadamente de acuerdo""}"
"","1206","PBS_022","PBS","survey-multi-choice-vertical","569","671990","0.0-529.0","{""Q0"":""Existe un Cielo y un Infierno.""}","{""Q0"":"" 6 Moderadamente de acuerdo""}"
"","1023","PBS_023","PBS","survey-multi-choice-vertical","570","673022","0.0-530.0","{""Q0"":""Leer la mente no es posible.""}","{""Q0"":"" 7 Muy de acuerdo""}"
"","1215","PBS_024","PBS","survey-multi-choice-vertical","571","674244","0.0-531.0","{""Q0"":""Hay casos reales de brujería.""}","{""Q0"":"" 3 Un poco en desacuerdo""}"
"","1059","PBS_025","PBS","survey-multi-choice-vertical","572","675309","0.0-532.0","{""Q0"":""Es posible comunicarse con los muertos.""}","{""Q0"":"" 1 Muy en desacuerdo""}"
"","1118","PBS_026","PBS","survey-multi-choice-vertical","573","676436","0.0-533.0","{""Q0"":""Algunas personas tienen la inexplicable habilidad de predecir el futuro.""}","{""Q0"":"" 2 Moderadamente en desacuerdo""}"
