"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":274}]","274","Instructions","RTS","instructions","656","323659","0.0-616.0","",""
"","516","RTS_01","RTS","survey-multi-choice-vertical","657","324178","0.0-617.0","{""Q0"":""1. Los horóscopos tienen razón con demasiada frecuencia para que sea una coincidencia.""}","{""Q0"":"" Verdadero""}"
"","448","RTS_02","RTS","survey-multi-choice-vertical","658","324629","0.0-618.0","{""Q0"":""2. A veces realizo ciertos pequeños rituales para alejarme de las influencias negativas.""}","{""Q0"":"" Verdadero""}"
"","433","RTS_03","RTS","survey-multi-choice-vertical","659","325064","0.0-619.0","{""Q0"":""3. He experimentado un estado alterado de conciencia en el que sentí que me volví cósmicamente iluminado.""}","{""Q0"":"" Falso""}"
"","422","RTS_04","RTS","survey-multi-choice-vertical","660","325490","0.0-620.0","{""Q0"":""4. En la actualidad, soy muy bueno imaginando y haciendo cosas.""}","{""Q0"":"" Falso""}"
"","458","RTS_05","RTS","survey-multi-choice-vertical","661","325952","0.0-621.0","{""Q0"":""5. He sentido que había recibido una sabiduría especial, para ser comunicada al resto de la humanidad.""}","{""Q0"":"" Verdadero""}"
"","440","RTS_06","RTS","survey-multi-choice-vertical","662","326395","0.0-622.0","{""Q0"":""6. A veces me he comportado de una manera mucho más impulsiva y/o desinhibida que de costumbre.""}","{""Q0"":"" Falso""}"
"","440","RTS_07","RTS","survey-multi-choice-vertical","663","326838","0.0-623.0","{""Q0"":""7. Me fascinan las nuevas ideas, tengan o no un valor práctico.""}","{""Q0"":"" Verdadero""}"
"","415","RTS_08","RTS","survey-multi-choice-vertical","664","327255","0.0-624.0","{""Q0"":""8. A veces he sentido una presencia maligna a mi alrededor, aunque no pude verla.""}","{""Q0"":"" Verdadero""}"
"","476","RTS_09","RTS","survey-multi-choice-vertical","665","327734","0.0-625.0","{""Q0"":""9. Mis pensamientos a veces han llegado tan rápido que no podía escribirlos todos lo suficientemente rápido.""}","{""Q0"":"" Verdadero""}"
"","436","RTS_10","RTS","survey-multi-choice-vertical","666","328172","0.0-626.0","{""Q0"":""10. Si ya no pudiera fingir, no sería yo, no sería la misma persona.""}","{""Q0"":"" Falso""}"
"","433","RTS_11","RTS","survey-multi-choice-vertical","667","328607","0.0-627.0","{""Q0"":""11. A veces experimento cosas como si fueran doblemente reales.""}","{""Q0"":"" Falso""}"
"","424","RTS_12","RTS","survey-multi-choice-vertical","668","329034","0.0-628.0","{""Q0"":""12. A veces es posible para mí estar completamente inmerso en la naturaleza o en el arte y sentir como si todo mi estado de conciencia se hubiera alterado temporalmente de alguna manera.""}","{""Q0"":"" Falso""}"
"","427","RTS_13","RTS","survey-multi-choice-vertical","669","329463","0.0-629.0","{""Q0"":""13. A menudo tengo un día en que las luces en espacios interiores parecen tan brillantes que me molestan los ojos.""}","{""Q0"":"" Verdadero""}"
"","422","RTS_14","RTS","survey-multi-choice-vertical","670","329888","0.0-630.0","{""Q0"":""14. Estoy convencido de que he tenido al menos una experiencia de telepatía entre otra persona y yo.""}","{""Q0"":"" Falso""}"
"","423","RTS_15","RTS","survey-multi-choice-vertical","671","330313","0.0-631.0","{""Q0"":""15. Estoy convencido de que soy psíquico.""}","{""Q0"":"" Falso""}"
"","432","RTS_16","RTS","survey-multi-choice-vertical","672","330747","0.0-632.0","{""Q0"":""16. He experimentado un estado alterado de conciencia que creo que transformó por completo (de manera positiva) la forma en que me miraba a mí mismo.""}","{""Q0"":"" Falso""}"
"","438","RTS_17","RTS","survey-multi-choice-vertical","673","331189","0.0-633.0","{""Q0"":""17. Estoy convencido de que he tenido un presentimiento sobre el futuro que se hizo realidad y que (creo) no fue solo una coincidencia.""}","{""Q0"":"" Verdadero""}"
"","422","RTS_18","RTS","survey-multi-choice-vertical","674","331615","0.0-634.0","{""Q0"":""18. Creo que realmente sé lo que algunas personas quieren decir cuando hablan de experiencias místicas.""}","{""Q0"":"" Verdadero""}"
"","419","RTS_19","RTS","survey-multi-choice-vertical","675","332037","0.0-635.0","{""Q0"":""19. He pasado por momentos en los que los olores parecían más fuertes y abrumadores de lo habitual.""}","{""Q0"":"" Falso""}"
"","410","RTS_20","RTS","survey-multi-choice-vertical","676","332449","0.0-636.0","{""Q0"":""20. Puedo sentir claramente de nuevo (revivir) en mi imaginación cosas tales como: la sensación de una suave brisa, arena cálida bajo los pies descalzos, la suavidad del pelaje, la hierba fresca, el calor del sol y el olor a hierba recién cortada.""}","{""Q0"":"" Verdadero""}"
"","444","RTS_21","RTS","survey-multi-choice-vertical","677","332896","0.0-637.0","{""Q0"":""21. Una persona debe tratar de comprender sus sueños y dejarse guiar por ellos o recibir advertencias de ellos.""}","{""Q0"":"" Falso""}"
"","443","RTS_22","RTS","survey-multi-choice-vertical","678","333341","0.0-638.0","{""Q0"":""22. Mientras escucho mi música favorita, además de sentirme tranquilo, relajado, feliz, etc., a menudo tengo un sentimiento de unidad con la música, o de estar en otro lugar o tiempo, o de recordar vívidamente el pasado. ""}","{""Q0"":"" Falso""}"
"","531","RTS_23","RTS","survey-multi-choice-vertical","679","333875","0.0-639.0","{""Q0"":""23. A veces siento de alguna manera la presencia de alguien que no está físicamente allí.""}","{""Q0"":"" Verdadero""}"
"","438","RTS_24","RTS","survey-multi-choice-vertical","680","334315","0.0-640.0","{""Q0"":""24. Estoy convencido de que es posible obtener información sobre los pensamientos, sentimientos o circunstancias de otra persona, de una manera que no depende de la predicción racional o de los canales sensoriales normales.""}","{""Q0"":"" Verdadero""}"
"","420","RTS_25","RTS","survey-multi-choice-vertical","681","334739","0.0-641.0","{""Q0"":""25. Durante varios días seguidos he tenido una conciencia tan elevada de las imágenes y los sonidos que no puedo ignorarlos.""}","{""Q0"":"" Falso""}"
"","390","RTS_26","RTS","survey-multi-choice-vertical","682","335133","0.0-642.0","{""Q0"":""26. A veces tengo la sensación de ganar o perder energía cuando ciertas personas me miran o me tocan.""}","{""Q0"":"" Falso""}"
"","420","RTS_27","RTS","survey-multi-choice-vertical","683","335554","0.0-643.0","{""Q0"":""27. Ahora que soy mayor, todavía creo de alguna manera en seres como elfos, brujas, duendes, hadas, etc.""}","{""Q0"":"" Verdadero""}"
"","409","RTS_28","RTS","survey-multi-choice-vertical","684","335966","0.0-644.0","{""Q0"":""28. A veces la gente piensa que soy un poco raro porque mis ideas son muy novedosas.""}","{""Q0"":"" Falso""}"
"","402","RTS_29","RTS","survey-multi-choice-vertical","685","336370","0.0-645.0","{""Q0"":""29. Cuando escucho música de órgano u otra música potente, a veces siento como si me elevaran en el aire.""}","{""Q0"":"" Verdadero""}"
