"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":408}]","408","Instructions_01","RTS","instructions","532","429819","0.0-581.0","",""
"","701","RTS_01","RTS","survey-multi-choice-vertical","533","430530","0.0-582.0","{""Q0"":""1. Los horóscopos tienen razón con demasiada frecuencia para que sea una coincidencia.""}","{""Q0"":"" Falso""}"
"","613","RTS_02","RTS","survey-multi-choice-vertical","534","431146","0.0-583.0","{""Q0"":""2. A veces realizo ciertos pequeños rituales para alejarme de las influencias negativas.""}","{""Q0"":"" Falso""}"
"","760","RTS_03","RTS","survey-multi-choice-vertical","535","431911","0.0-584.0","{""Q0"":""3. He experimentado un estado alterado de conciencia en el que sentí que me volví cósmicamente iluminado.""}","{""Q0"":"" Verdadero""}"
"","605","RTS_04","RTS","survey-multi-choice-vertical","536","432519","0.0-585.0","{""Q0"":""4. En la actualidad, soy muy bueno imaginando y haciendo cosas.""}","{""Q0"":"" Falso""}"
"","839","RTS_05","RTS","survey-multi-choice-vertical","537","433362","0.0-586.0","{""Q0"":""5. He sentido que había recibido una sabiduría especial, para ser comunicada al resto de la humanidad.""}","{""Q0"":"" Verdadero""}"
"","737","RTS_06","RTS","survey-multi-choice-vertical","538","434103","0.0-587.0","{""Q0"":""6. A veces me he comportado de una manera mucho más impulsiva y/o desinhibida que de costumbre.""}","{""Q0"":"" Falso""}"
"","668","RTS_07","RTS","survey-multi-choice-vertical","539","434775","0.0-588.0","{""Q0"":""7. Me fascinan las nuevas ideas, tengan o no un valor práctico.""}","{""Q0"":"" Verdadero""}"
"","770","RTS_08","RTS","survey-multi-choice-vertical","540","435549","0.0-589.0","{""Q0"":""8. A veces he sentido una presencia maligna a mi alrededor, aunque no pude verla.""}","{""Q0"":"" Verdadero""}"
"","626","RTS_09","RTS","survey-multi-choice-vertical","541","436180","0.0-590.0","{""Q0"":""9. Mis pensamientos a veces han llegado tan rápido que no podía escribirlos todos lo suficientemente rápido.""}","{""Q0"":"" Verdadero""}"
"","801","RTS_10","RTS","survey-multi-choice-vertical","542","436985","0.0-591.0","{""Q0"":""10. Si ya no pudiera fingir, no sería yo, no sería la misma persona.""}","{""Q0"":"" Falso""}"
"","721","RTS_11","RTS","survey-multi-choice-vertical","543","437709","0.0-592.0","{""Q0"":""11. A veces experimento cosas como si fueran doblemente reales.""}","{""Q0"":"" Verdadero""}"
"","696","RTS_12","RTS","survey-multi-choice-vertical","544","438409","0.0-593.0","{""Q0"":""12. A veces es posible para mí estar completamente inmerso en la naturaleza o en el arte y sentir como si todo mi estado de conciencia se hubiera alterado temporalmente de alguna manera.""}","{""Q0"":"" Verdadero""}"
"","729","RTS_13","RTS","survey-multi-choice-vertical","545","439143","0.0-594.0","{""Q0"":""13. A menudo tengo un día en que las luces en espacios interiores parecen tan brillantes que me molestan los ojos.""}","{""Q0"":"" Verdadero""}"
"","621","RTS_14","RTS","survey-multi-choice-vertical","546","439766","0.0-595.0","{""Q0"":""14. Estoy convencido de que he tenido al menos una experiencia de telepatía entre otra persona y yo.""}","{""Q0"":"" Falso""}"
"","716","RTS_15","RTS","survey-multi-choice-vertical","547","440487","0.0-596.0","{""Q0"":""15. Estoy convencido de que soy psíquico.""}","{""Q0"":"" Verdadero""}"
"","759","RTS_16","RTS","survey-multi-choice-vertical","548","441251","0.0-597.0","{""Q0"":""16. He experimentado un estado alterado de conciencia que creo que transformó por completo (de manera positiva) la forma en que me miraba a mí mismo.""}","{""Q0"":"" Verdadero""}"
"","712","RTS_17","RTS","survey-multi-choice-vertical","549","441966","0.0-598.0","{""Q0"":""17. Estoy convencido de que he tenido un presentimiento sobre el futuro que se hizo realidad y que (creo) no fue solo una coincidencia.""}","{""Q0"":"" Falso""}"
"","750","RTS_18","RTS","survey-multi-choice-vertical","550","442722","0.0-599.0","{""Q0"":""18. Creo que realmente sé lo que algunas personas quieren decir cuando hablan de experiencias místicas.""}","{""Q0"":"" Verdadero""}"
"","642","RTS_19","RTS","survey-multi-choice-vertical","551","443368","0.0-600.0","{""Q0"":""19. He pasado por momentos en los que los olores parecían más fuertes y abrumadores de lo habitual.""}","{""Q0"":"" Falso""}"
"","861","RTS_20","RTS","survey-multi-choice-vertical","552","444233","0.0-601.0","{""Q0"":""20. Puedo sentir claramente de nuevo (revivir) en mi imaginación cosas tales como: la sensación de una suave brisa, arena cálida bajo los pies descalzos, la suavidad del pelaje, la hierba fresca, el calor del sol y el olor a hierba recién cortada.""}","{""Q0"":"" Verdadero""}"
"","727","RTS_21","RTS","survey-multi-choice-vertical","553","444962","0.0-602.0","{""Q0"":""21. Una persona debe tratar de comprender sus sueños y dejarse guiar por ellos o recibir advertencias de ellos.""}","{""Q0"":"" Falso""}"
"","781","RTS_22","RTS","survey-multi-choice-vertical","554","445748","0.0-603.0","{""Q0"":""22. Mientras escucho mi música favorita, además de sentirme tranquilo, relajado, feliz, etc., a menudo tengo un sentimiento de unidad con la música, o de estar en otro lugar o tiempo, o de recordar vívidamente el pasado. ""}","{""Q0"":"" Verdadero""}"
"","697","RTS_23","RTS","survey-multi-choice-vertical","555","446449","0.0-604.0","{""Q0"":""23. A veces siento de alguna manera la presencia de alguien que no está físicamente allí.""}","{""Q0"":"" Verdadero""}"
"","695","RTS_24","RTS","survey-multi-choice-vertical","556","447148","0.0-605.0","{""Q0"":""24. Estoy convencido de que es posible obtener información sobre los pensamientos, sentimientos o circunstancias de otra persona, de una manera que no depende de la predicción racional o de los canales sensoriales normales.""}","{""Q0"":"" Falso""}"
"","803","RTS_25","RTS","survey-multi-choice-vertical","557","447954","0.0-606.0","{""Q0"":""25. Durante varios días seguidos he tenido una conciencia tan elevada de las imágenes y los sonidos que no puedo ignorarlos.""}","{""Q0"":"" Falso""}"
"","632","RTS_26","RTS","survey-multi-choice-vertical","558","448589","0.0-607.0","{""Q0"":""26. A veces tengo la sensación de ganar o perder energía cuando ciertas personas me miran o me tocan.""}","{""Q0"":"" Verdadero""}"
"","708","RTS_27","RTS","survey-multi-choice-vertical","559","449303","0.0-608.0","{""Q0"":""27. Ahora que soy mayor, todavía creo de alguna manera en seres como elfos, brujas, duendes, hadas, etc.""}","{""Q0"":"" Falso""}"
"","664","RTS_28","RTS","survey-multi-choice-vertical","560","449971","0.0-609.0","{""Q0"":""28. A veces la gente piensa que soy un poco raro porque mis ideas son muy novedosas.""}","{""Q0"":"" Verdadero""}"
"","690","RTS_29","RTS","survey-multi-choice-vertical","561","450665","0.0-610.0","{""Q0"":""29. Cuando escucho música de órgano u otra música potente, a veces siento como si me elevaran en el aire.""}","{""Q0"":"" Verdadero""}"
