"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":321}]","322","Instructions","SRA","instructions","787","445143","0.0-754.0","",""
"","851","SRA_01","SRA","survey-multi-choice-vertical","788","445997","0.0-755.0","{""Q0"":""1. He ayudado a sacar el coche de un extraño de la nieve.""}","{""Q0"":"" Una vez""}"
"","783","SRA_02","SRA","survey-multi-choice-vertical","789","446783","0.0-756.0","{""Q0"":""2. Le he dado instrucciones a un extraño.""}","{""Q0"":"" Nunca""}"
"","724","SRA_03","SRA","survey-multi-choice-vertical","790","447510","0.0-757.0","{""Q0"":""3. He hecho cambios por un extraño.""}","{""Q0"":"" A menudo""}"
"","935","SRA_04","SRA","survey-multi-choice-vertical","791","448448","0.0-758.0","{""Q0"":""4. He dado dinero a una organización benéfica.""}","{""Q0"":"" Una vez""}"
"","720","SRA_05","SRA","survey-multi-choice-vertical","792","449171","0.0-759.0","{""Q0"":""5. Le di dinero a un extraño que lo necesitaba (o me lo pidió).""}","{""Q0"":"" Nunca""}"
"","683","SRA_06","SRA","survey-multi-choice-vertical","793","449857","0.0-760.0","{""Q0"":""6. He donado artículos o ropa a una organización benéfica.""}","{""Q0"":"" Una vez""}"
"","700","SRA_07","SRA","survey-multi-choice-vertical","794","450562","0.0-761.0","{""Q0"":""7. He realizado trabajo voluntario para una organización benéfica.""}","{""Q0"":"" Muy a menudo""}"
"","663","SRA_08","SRA","survey-multi-choice-vertical","795","451227","0.0-762.0","{""Q0"":""8. He donado sangre.""}","{""Q0"":"" Nunca""}"
"","678","SRA_09","SRA","survey-multi-choice-vertical","796","451907","0.0-763.0","{""Q0"":""9. He ayudado a llevar las pertenencias de un extraño (libros, paquetes, etc.).""}","{""Q0"":"" Muy a menudo""}"
"","702","SRA_10","SRA","survey-multi-choice-vertical","797","452612","0.0-764.0","{""Q0"":""10. He retrasado un ascensor y mantuve la puerta abierta para un extraño.""}","{""Q0"":"" Una vez""}"
"","715","SRA_11","SRA","survey-multi-choice-vertical","798","453330","0.0-765.0","{""Q0"":""11. Permití que alguien se adelantara a mí en una fila (por ejemplo: en un banco, en el supermercado, etc).""}","{""Q0"":"" Muy a menudo""}"
"","698","SRA_12","SRA","survey-multi-choice-vertical","799","454031","0.0-766.0","{""Q0"":""12. He dado a un extraño un aventón en mi auto.""}","{""Q0"":"" Una vez""}"
"","706","SRA_13","SRA","survey-multi-choice-vertical","800","454740","0.0-767.0","{""Q0"":""13. He señalado el error de un empleado (por ejemplo: en un banco, en el supermercado, etc) al cobrar menos por un artículo.""}","{""Q0"":"" Nunca""}"
"","700","SRA_14","SRA","survey-multi-choice-vertical","801","455443","0.0-768.0","{""Q0"":""14. Dejé que un vecino a quien no conocía demasiado bien, tomara prestado un artículo de algún valor para mí (por ejemplo: un plato, herramientas, etc).""}","{""Q0"":"" Muy a menudo""}"
"","657","SRA_15","SRA","survey-multi-choice-vertical","802","456102","0.0-769.0","{""Q0"":""15. He comprado tarjetas de Navidad \""benéficas\"" deliberadamente porque sabía que era una buena causa.""}","{""Q0"":"" Muy a menudo""}"
"","736","SRA_16","SRA","survey-multi-choice-vertical","803","456842","0.0-770.0","{""Q0"":""16. He ayudado a un compañero de clase que no conocía muy bien con una tarea cuando mi conocimiento era mayor que el de él o ella.""}","{""Q0"":"" Una vez""}"
"","695","SRA_17","SRA","survey-multi-choice-vertical","804","457539","0.0-771.0","{""Q0"":""17. Antes de que me pidieran, he cuidado voluntariamente las mascotas o los niños de un vecino sin ser pagado por ello.""}","{""Q0"":"" A menudo""}"
"","677","SRA_18","SRA","survey-multi-choice-vertical","805","458219","0.0-772.0","{""Q0"":""18. Me he ofrecido a ayudar a un extraño discapacitado o anciano a cruzar la calle.""}","{""Q0"":"" Nunca""}"
"","666","SRA_19","SRA","survey-multi-choice-vertical","806","458887","0.0-773.0","{""Q0"":""19. Le ofrecí mi asiento en un autobús o tren a un extraño que estaba parado.""}","{""Q0"":"" A menudo""}"
"","714","SRA_20","SRA","survey-multi-choice-vertical","807","459604","0.0-774.0","{""Q0"":""20. He ayudado a un conocido a mudarse de hogar.""}","{""Q0"":"" Más de una vez""}"
