"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":273}]","273","Instructions_01","SRSav","instructions","764","378074","0.0-729.0","",""
"","704","SRSav_01","SRSav","survey-multi-choice-vertical","765","378785","0.0-730.0","{""Q0"":""1. ¿Con qué frecuencia asiste a los servicios de la iglesia?""}","{""Q0"":""Varias veces al mes""}"
"","659","SRSav_02","SRSav","survey-multi-choice-vertical","766","379451","0.0-731.0","{""Q0"":""2. ¿Con qué frecuencia participas en otras actividades religiosas? (actividades grupales, es decir, clases de escuela dominical para adultos, grupos de estudio bíblico, grupos de oración, etc.)""}","{""Q0"":""Nunca""}"
"[{""page_index"":0,""viewing_time"":251}]","251","Instructions_02","SRSav","instructions","767","379702","0.0-732.0","",""
"","668","SRSav_03","SRSav","survey-multi-choice-vertical","768","380377","0.0-733.0","{""Q0"":""3. ¿Con qué frecuencia rezas en privado?""}","{""Q0"":""Tres o más veces al día""}"
"","617","SRSav_04","SRSav","survey-multi-choice-vertical","769","381000","0.0-734.0","{""Q0"":""4. ¿Con qué frecuencia lees la Biblia u otros religiosos? literatura (revistas, periódicos, libros) en casa?""}","{""Q0"":""Varias veces al mes""}"
"","641","SRSav_05","SRSav","survey-multi-choice-vertical","770","381647","0.0-735.0","{""Q0"":""5. ¿Con qué frecuencia escuchas o ves programas religiosos en radio o televisión?""}","{""Q0"":""Varias veces al mes""}"
"[{""page_index"":0,""viewing_time"":263}]","263","Instructions_03","SRSav","instructions","771","381910","0.0-736.0","",""
"","601","SRSav_06","SRSav","survey-multi-choice-vertical","772","382516","0.0-737.0","{""Q0"":""6. Mi fe involucra toda mi vida.""}","{""Q0"":""Definitivamente no es cierto para mí""}"
"","637","SRSav_07","SRSav","survey-multi-choice-vertical","773","383158","0.0-738.0","{""Q0"":""7. En mi vida, experimento la presencia de lo divino (es decir, de Dios).""}","{""Q0"":""Tiende a no ser cierto""}"
"","641","SRSav_08","SRSav","survey-multi-choice-vertical","774","383805","0.0-739.0","{""Q0"":""8. Aunque soy una persona religiosa, me niego a dejar que consideraciones religiosas influyan en mis asuntos cotidianos.""}","{""Q0"":""Definitivamente no es cierto para mí""}"
"","613","SRSav_09","SRSav","survey-multi-choice-vertical","775","384422","0.0-740.0","{""Q0"":""9. Nada es tan importante para mí como servir a Dios como mejor se hacerlo.""}","{""Q0"":""Tiende a no ser cierto""}"
"","609","SRSav_10","SRSav","survey-multi-choice-vertical","776","385039","0.0-741.0","{""Q0"":""10. Mi fe a veces restringe mis acciones.""}","{""Q0"":""Definitivamente cierto de mí""}"
"","716","SRSav_11","SRSav","survey-multi-choice-vertical","777","385759","0.0-742.0","{""Q0"":""11. Mis creencias religiosas son lo que realmente se encuentra detrás de todo mi enfoque de vida.""}","{""Q0"":""Definitivamente no es cierto para mí""}"
"","588","SRSav_12","SRSav","survey-multi-choice-vertical","778","386352","0.0-743.0","{""Q0"":""12. Me esfuerzo por llevar mi religión a todos los demás aspectos de mi vida.""}","{""Q0"":""Inseguro""}"
"","609","SRSav_13","SRSav","survey-multi-choice-vertical","779","386967","0.0-744.0","{""Q0"":""13. Uno debe buscar la guía de Dios al tomar decisiones importantes.""}","{""Q0"":""Inseguro""}"
"","600","SRSav_14","SRSav","survey-multi-choice-vertical","780","387572","0.0-745.0","{""Q0"":""14. Aunque creo en la religión, siento que hay muchas cosas más importantes en la vida.""}","{""Q0"":""Definitivamente de acuerdo""}"
"","650","SRSav_15","SRSav","survey-multi-choice-vertical","781","388227","0.0-746.0","{""Q0"":""15. No importa tanto lo que yo crea siempre y cuando lleve una vida moral.""}","{""Q0"":""Definitivamente de acuerdo""}"
