"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":483}]","484","Instructions_01","SRSav","instructions","838","915861","0.0-812.0","",""
"","916","SRSav_01","SRSav","survey-multi-choice-vertical","839","916784","0.0-813.0","{""Q0"":""1. ¿Con qué frecuencia asiste a los servicios de la iglesia?""}","{""Q0"":""Varias veces al año""}"
"","1150","SRSav_02","SRSav","survey-multi-choice-vertical","840","917941","0.0-814.0","{""Q0"":""2. ¿Con qué frecuencia participas en otras actividades religiosas? (actividades grupales, es decir, clases de escuela dominical para adultos, grupos de estudio bíblico, grupos de oración, etc.)""}","{""Q0"":""Varias veces al mes""}"
"[{""page_index"":0,""viewing_time"":368}]","368","Instructions_02","SRSav","instructions","841","918310","0.0-815.0","",""
"","1063","SRSav_03","SRSav","survey-multi-choice-vertical","842","919381","0.0-816.0","{""Q0"":""3. ¿Con qué frecuencia rezas en privado?""}","{""Q0"":""Solo ocasionalmente""}"
"","1029","SRSav_04","SRSav","survey-multi-choice-vertical","843","920422","0.0-817.0","{""Q0"":""4. ¿Con qué frecuencia lees la Biblia u otros religiosos? literatura (revistas, periódicos, libros) en casa?""}","{""Q0"":""Solo ocasionalmente""}"
"","1098","SRSav_05","SRSav","survey-multi-choice-vertical","844","921528","0.0-818.0","{""Q0"":""5. ¿Con qué frecuencia escuchas o ves programas religiosos en radio o televisión?""}","{""Q0"":""Solo ocasionalmente""}"
"[{""page_index"":0,""viewing_time"":340}]","340","Instructions_03","SRSav","instructions","845","921871","0.0-819.0","",""
"","883","SRSav_06","SRSav","survey-multi-choice-vertical","846","922759","0.0-820.0","{""Q0"":""6. Mi fe involucra toda mi vida.""}","{""Q0"":""Definitivamente cierto de mí""}"
"","1087","SRSav_07","SRSav","survey-multi-choice-vertical","847","923852","0.0-821.0","{""Q0"":""7. En mi vida, experimento la presencia de lo divino (es decir, de Dios).""}","{""Q0"":""Definitivamente no es cierto para mí""}"
"","867","SRSav_08","SRSav","survey-multi-choice-vertical","848","924729","0.0-822.0","{""Q0"":""8. Aunque soy una persona religiosa, me niego a dejar que consideraciones religiosas influyan en mis asuntos cotidianos.""}","{""Q0"":""Definitivamente cierto de mí""}"
"","1074","SRSav_09","SRSav","survey-multi-choice-vertical","849","925809","0.0-823.0","{""Q0"":""9. Nada es tan importante para mí como servir a Dios como mejor se hacerlo.""}","{""Q0"":""Tiende a ser verdad""}"
"","1010","SRSav_10","SRSav","survey-multi-choice-vertical","850","926826","0.0-824.0","{""Q0"":""10. Mi fe a veces restringe mis acciones.""}","{""Q0"":""Tiende a no ser cierto""}"
"","914","SRSav_11","SRSav","survey-multi-choice-vertical","851","927748","0.0-825.0","{""Q0"":""11. Mis creencias religiosas son lo que realmente se encuentra detrás de todo mi enfoque de vida.""}","{""Q0"":""Tiende a no ser cierto""}"
"","1100","SRSav_12","SRSav","survey-multi-choice-vertical","852","928854","0.0-826.0","{""Q0"":""12. Me esfuerzo por llevar mi religión a todos los demás aspectos de mi vida.""}","{""Q0"":""Tiende a ser verdad""}"
"","1007","SRSav_13","SRSav","survey-multi-choice-vertical","853","929865","0.0-827.0","{""Q0"":""13. Uno debe buscar la guía de Dios al tomar decisiones importantes.""}","{""Q0"":""Tiende a estar de acuerdo""}"
"","1074","SRSav_14","SRSav","survey-multi-choice-vertical","854","930946","0.0-828.0","{""Q0"":""14. Aunque creo en la religión, siento que hay muchas cosas más importantes en la vida.""}","{""Q0"":""Tiende a estar de acuerdo""}"
"","1037","SRSav_15","SRSav","survey-multi-choice-vertical","855","931992","0.0-829.0","{""Q0"":""15. No importa tanto lo que yo crea siempre y cuando lleve una vida moral.""}","{""Q0"":""Tiende a estar de acuerdo""}"
